Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Director
The_Perks_of_Being_a_Wallflower,2012,UA,103,Drama,8,Stephen Chbosky
Ã”kami_kodomo_no_Ame_to_Yuki,2012,U,117,Animation,8.1,Mamoru Hosoda
Barfi!,2012,U,151,Comedy,8.1,Anurag Basu
Kahaani,2012,UA,122,Mystery,8.1,Sujoy Ghosh
OMG_Oh_My_God!,2012,U,125,Comedy,8.1,Umesh Shukla
Gangs_of_Wasseypur,2012,A,321,Action,8.2,Anurag Kashyap
Paan_Singh_Tomar,2012,UA,135,Action,8.2,Tigmanshu Dhulia
Jagten,2012,R,115,Drama,8.3,Thomas Vinterberg
Django_Unchained,2012,A,165,Drama,8.4,Quentin Tarantino
The_Dark_Knight_Rises,2012,UA,164,Action,8.4,Christopher Nolan
Philomena,2013,PG-13,98,Biography,7.6,Stephen Frears
Gravity,2013,UA,91,Drama,7.7,Alfonso CuarÃ³n
Kai_po_che!,2013,U,130,Drama,7.7,Abhishek Kapoor
La_vie_d'AdÃ¨le,2013,A,180,Drama,7.7,Abdellatif Kechiche
Nebraska,2013,UA,115,Adventure,7.7,Alexander Payne
Star_Trek_Into_Darkness,2013,UA,132,Action,7.7,J.J. Abrams
About_Time,2013,R,123,Comedy,7.8,Richard Curtis
Captain_Phillips,2013,UA,134,Adventure,7.8,Paul Greengrass
Kaze_tachinu,2013,PG-13,126,Animation,7.8,Hayao Miyazaki
La_grande_bellezza,2013,,141,Drama,7.8,Paolo Sorrentino
La_migliore_offerta,2013,R,131,Crime,7.8,Giuseppe Tornatore
Le_passÃ©,2013,PG-13,130,Drama,7.8,Asghar Farhadi
The_Hobbit_The_Desolation_of_Smaug,2013,UA,161,Adventure,7.8,Peter Jackson
The_Lunchbox,2013,U,104,Drama,7.8,Ritesh Batra
Before_Midnight,2013,R,109,Drama,7.9,Richard Linklater
Dallas_Buyers_Club,2013,R,117,Biography,8,Jean-Marc VallÃ©e
Her,2013,A,126,Drama,8,Spike Jonze
Kaguyahime_no_monogatari,2013,U,137,Animation,8,Isao Takahata
Short_Term_12,2013,R,96,Drama,8,Destin Daniel Cretton
Special_Chabbis,2013,UA,144,Crime,8,Neeraj Pandey
12_Years_a_Slave,2013,A,134,Biography,8.1,Steve McQueen
Prisoners,2013,A,153,Crime,8.1,Denis Villeneuve
Rush,2013,UA,123,Action,8.1,Ron Howard
Bhaag_Milkha_Bhaag,2013,U,186,Biography,8.2,Rakeysh Omprakash Mehra
Mandariinid,2013,,87,Drama,8.2,Zaza Urushadze
Queen,2013,UA,146,Adventure,8.2,Vikas Bahl
The_Wolf_of_Wall_Street,2013,A,180,Biography,8.2,Martin Scorsese
Drishyam,2013,U,160,Crime,8.3,Jeethu Joseph
Dawn_of_the_Planet_of_the_Apes,2014,UA,130,Action,7.6,Matt Reeves
Leviafan,2014,R,140,Crime,7.6,Andrey Zvyagintsev
Birdman_or_(The_Unexpected_Virtue_of_Ignorance),2014,A,119,Comedy,7.7,Alejandro G. IÃ±Ã¡rritu
Captain_America_The_Winter_Soldier,2014,UA,136,Action,7.7,Anthony Russo
Ex_Machina,2014,UA,108,Drama,7.7,Alex Garland
Kingsman_The_Secret_Service,2014,A,129,Action,7.7,Matthew Vaughn
Omoide_no_MÃ¢nÃ®,2014,U,103,Animation,7.7,James Simone
The_Fault_in_Our_Stars,2014,UA,126,Drama,7.7,Josh Boone
The_Lego_Movie,2014,U,100,Animation,7.7,Christopher Miller
The_Theory_of_Everything,2014,U,123,Biography,7.7,James Marsh
What_We_Do_in_the_Shadows,2014,R,86,Comedy,7.7,Jemaine Clement
Big_Hero_6,2014,U,102,Animation,7.8,Don Hall
How_to_Train_Your_Dragon_2,2014,U,102,Animation,7.8,Dean DeBlois
Pride,2014,R,119,Biography,7.8,Matthew Warchus
Boyhood,2014,A,165,Drama,7.9,Richard Linklater
Edge_of_Tomorrow,2014,UA,113,Action,7.9,Doug Liman
Nightcrawler,2014,A,117,Crime,7.9,Dan Gilroy
X-Men_Days_of_Future_Past,2014,UA,132,Action,7.9,Bryan Singer
Guardians_of_the_Galaxy,2014,UA,121,Action,8,James Gunn
Mar_adentro,2014,U,126,Biography,8,Alejandro AmenÃ¡bar
Serbuan_maut_2_Berandal,2014,A,150,Action,8,Gareth Evans
The_Imitation_Game,2014,UA,114,Biography,8,Morten Tyldum
Gone_Girl,2014,A,149,Drama,8.1,David Fincher
Haider,2014,UA,160,Action,8.1,Vishal Bhardwaj
Kis_Uykusu,2014,,196,Drama,8.1,Nuri Bilge Ceylan
Mommy,2014,R,139,Drama,8.1,Xavier Dolan
PK,2014,UA,153,Comedy,8.1,Rajkumar Hirani
Relatos_salvajes,2014,R,122,Comedy,8.1,DamiÃ¡n Szifron
Song_of_the_Sea,2014,PG,93,Animation,8.1,Tomm Moore
The_Grand_Budapest_Hotel,2014,UA,99,Adventure,8.1,Wes Anderson
Whiplash,2014,A,106,Drama,8.5,Damien Chazelle
Interstellar,2014,UA,169,Adventure,8.6,Christopher Nolan
Bridge_of_Spies,2015,UA,142,Drama,7.6,Steven Spielberg
Creed,2015,A,133,Drama,7.6,Ryan Coogler
Mustang,2015,PG-13,97,Drama,7.6,Deniz Gamze ErgÃ¼ven
Sicario,2015,A,121,Action,7.6,Denis Villeneuve
Victoria,2015,,138,Crime,7.6,Sebastian Schipper
Beasts_of_No_Nation,2015,,137,Drama,7.7,Cary Joji Fukunaga
En_man_som_heter_Ove,2015,PG-13,116,Comedy,7.7,Hannes Holm
Le_Petit_Prince,2015,PG,108,Animation,7.7,Mark Osborne
Me_and_Earl_and_the_Dying_Girl,2015,PG-13,105,Comedy,7.7,Alfonso Gomez-Rejon
Straight_Outta_Compton,2015,R,147,Biography,7.8,F. Gary Gray
The_Big_Short,2015,A,130,Biography,7.8,Adam McKay
The_Hateful_Eight,2015,A,168,Crime,7.8,Quentin Tarantino
Under_sandet,2015,R,100,Drama,7.8,Martin Zandvliet
Star_Wars_Episode_VII_-_The_Force_Awakens,2015,U,138,Action,7.9,J.J. Abrams
BÃ£hubali_The_Beginning,2015,UA,159,Action,8,S.S. Rajamouli
Baby,2015,UA,159,Action,8,Neeraj Pandey
Bajrangi_Bhaijaan,2015,UA,163,Action,8,Kabir Khan
The_Martian,2015,UA,144,Adventure,8,Ridley Scott
The_Revenant,2015,A,156,Action,8,Alejandro G. IÃ±Ã¡rritu
Inside_Out,2015,U,95,Animation,8.1,Pete Docter
Mad_Max_Fury_Road,2015,UA,120,Action,8.1,George Miller
Room,2015,R,118,Drama,8.1,Lenny Abrahamson
Spotlight,2015,A,129,Biography,8.1,Tom McCarthy
Drishyam,2015,UA,163,Crime,8.2,Nishikant Kamat
Talvar,2015,UA,132,Crime,8.2,Meghna Gulzar
Hell_or_High_Water,2016,R,102,Action,7.6,David Mackenzie
Moana,2016,U,107,Animation,7.6,Ron Clements
Captain_America_Civil_War,2016,UA,147,Action,7.8,Anthony Russo
